,song_title,artist
0,About Damn Time,Lizzo
1,Running Up That Hill (A Deal with God),Kate Bush
2,TV,Billie Eilish
3,You Can Have Him Jolene,Chapel Hart
4,Y'all Life,Walker Hayes
5,The Kind of Love We Make,Luke Combs
6,As It Was,Harry Styles
7,Miracle,A Day to Remember
8,BREAK MY SOUL,Beyoncé
9,Rock and A Hard Place,Bailey Zimmerman
10,She Had Me At Heads Carolina,Cole Swindell
11,Irrelevant,P!nk
12,Wasted On You,Morgan Wallen
13,Names,Tom MacDonald
14,Unstoppable,Sia
15,Left and Right,Charlie Puth & Jung Kook
16,Good as Hell,Lizzo
17,The Dying Song (Time To Sing),Slipknot
18,I Ain't Worried,OneRepublic
19,You Proof,Morgan Wallen
20,About Damn Time,Lizzo
21,Can't Stop Us Now,Pitbull & Zac Brown
22,Sunroof,Nicky Youre & Dazy
23,Becky’s So Hot,FLETCHER
24,Victoria’s Secret,Jax
25,Like I Love Country Music,Kane Brown
26,Everybody Wants to Rule the World,Tears for Fears
27,Party In the U.S.A.,Miley Cyrus
28,Never Gonna Give You Up,Rick Astley
29,Master of Puppets,Metallica
30,I Like You (A Happier Song) [feat. Doja Cat],Post Malone
31,Arson,j-hope
32,First Class,Jack Harlow
33,Hold My Hand,Lady Gaga
34,Fall In Love,Bailey Zimmerman
35,Son Of A Sinner,Jelly Roll
36,Never Til Now,Ashley Cooke & Brett Young
37,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat
38,Numb,Marshmello & Khalid
39,Glimpse of Us,Joji
40,AA,Walker Hayes
41,Hot Shit,"Cardi B, Kanye West & Lil Durk"
42,American Pie (Full Length Version),Don Mclean
43,Dancing Queen,ABBA
44,5 Foot 9,Tyler Hubbard
45,Late Night Talking,Harry Styles
46,'Til You Can't,Cody Johnson
47,Damn Strait,Scotty McCreery
48,Fancy Like,Walker Hayes
49,Quietly Yours,Birdy
50,Cold Heart (PNAU Remix),Elton John & Dua Lipa
51,Don’t Come Lookin’,Jackson Dean
52,Call Me Maybe,Carly Rae Jepsen
53,Valley of Lies,TOMORROW X TOGETHER & iann dior
54,You Can Have Him Jolene,Chapel Hart
55,Tennessee Whiskey,Chris Stapleton
56,Poker Face,Lady Gaga
57,= (Equal Sign),j-hope
58,Shivers,Ed Sheeran
59,Don't Stop Believin',Journey
60,Safety Zone,j-hope
61,Pandora's Box,j-hope
62,She Likes It (feat. Jake Scott),Russell Dickerson & Jake Scott
63,What If…,j-hope
64,STOP,j-hope
65,Future,j-hope
66,Betty (Get Money),Yung Gravy
67,Lights (Single Version),Ellie Goulding
68,Sweet Child O' Mine,Guns N' Roses
69,Soul,Lee Brice
70,Music Box : Reflection,j-hope
71,Something in the Orange (Z&E's Version),Zach Bryan
72,Hey You,Disturbed
73,Intro,j-hope
74,Sweet Caroline,Neil Diamond
75,Dark Horse (feat. Juicy J),Katy Perry
76,Roar,Katy Perry
77,MORE,j-hope
78,7 Years,Lukas Graham
79,Big Energy (Remix) [feat. DJ Khaled],Latto & Mariah Carey
80,Numb Little Bug,Em Beihold
81,WAIT FOR U (feat. Drake & Tems),Future
82,Big Energy,Latto
83,I'm Yours,Jason Mraz
84,Tití Me Preguntó,Bad Bunny
85,Joy of My Life,Chris Stapleton
86,Whiskey On You,Nate Smith
87,Angel (feat. Rayvon),Shaggy
88,The 30th,Billie Eilish
89,Heat Waves,Glass Animals
90,abcdefu (feat. Royal & the Serpent),GAYLE
91,Sand In My Boots,Morgan Wallen
92,Levitating (feat. DaBaby),Dua Lipa
93,Kings & Queens,Ava Max
94,Country On,Luke Bryan
95,In Jesus Name (God Of Possible),Katy Nichole
96,Jimmy Cooks (feat. 21 Savage),Drake
97,Love Shack,The B-52's
98,Take My Name,Parmalee
99,So Good,Halsey
